State,Year,Cases,Deaths,Recovered,Vaccinated
Andaman and Nicobar Islands,2020,4941,62,4820,0
Andaman and Nicobar Islands,2021,7720,129,7582,592837
Andaman and Nicobar Islands,2022,10746,129,10612,991263
Andhra Pradesh,2020,881948,7104,871588,0
Andhra Pradesh,2021,2076979,14493,2061405,68894212
Andhra Pradesh,2022,2349069,14733,2324332,110655938
Arunachal Pradesh,2020,16711,56,16549,0
Arunachal Pradesh,2021,55339,280,55038,1461358
Arunachal Pradesh,2022,66890,296,66594,1923512
Assam,2020,216139,1043,211838,0
Assam,2021,620573,6164,612282,37549618
Assam,2022,746100,8035,738065,50325492
Bihar,2020,251348,1393,245156,0
Bihar,2021,726738,12096,714308,99824631
Bihar,2022,851388,12302,839062,157252874
Chandigarh,2020,19682,316,18967,0
Chandigarh,2021,65846,1079,64638,1923051
Chandigarh,2022,99349,1181,98162,2289417
Chhattisgarh,2020,278540,3350,263251,0
Chhattisgarh,2021,1007997,13600,993800,31698374
Chhattisgarh,2022,1177754,14146,1163602,49157832
Dadra and Nagar Haveli and Daman and Diu,2020,3375,2,3364,0
Dadra and Nagar Haveli and Daman and Diu,2021,10691,4,10687,1294822
Dadra and Nagar Haveli and Daman and Diu,2022,11591,4,11587,1582914
Delhi,2020,624795,10523,608434,0
Delhi,2021,1446415,25107,1418227,26183944
Delhi,2022,2007208,26521,1980657,37402619
Goa,2020,50981,737,49313,0
Goa,2021,180660,3521,176283,2589341
Goa,2022,263084,4013,255050,2874312
Gujarat,2020,244258,4302,229977,0
Gujarat,2021,831078,10118,818589,89563214
Gujarat,2022,1277569,11043,1266479,128084122
Haryana,2020,262054,2899,255356,0
Haryana,2021,773361,10063,762228,34493121
Haryana,2022,1056611,10714,1045854,45542894
Himachal Pradesh,2020,55114,931,51387,0
Himachal Pradesh,2021,228770,3875,224465,11342911
Himachal Pradesh,2022,312647,4213,308418,15328491
Jammu and Kashmir,2020,120744,1880,115830,0
Jammu and Kashmir,2021,341167,4526,335347,18563122
Jammu and Kashmir,2022,479417,4785,474610,24784912
Jharkhand,2020,114873,1027,112206,0
Jharkhand,2021,350986,5143,344472,29894213
Jharkhand,2022,443571,5331,437238,43892014
Karnataka,2020,918544,12081,894834,0
Karnataka,2021,3006505,38327,2959926,81294155
Karnataka,2022,4076670,40307,4030363,122158913
Kerala,2020,755718,3042,687104,0
Kerala,2021,5244501,47441,5176535,46894231
Kerala,2022,6828376,71555,6755401,57523914
Ladakh,2020,9447,127,9132,0
Ladakh,2021,22173,219,21750,432912
Ladakh,2022,29412,231,29178,569314
Lakshadweep,2020,0,0,0,0
Lakshadweep,2021,10416,51,10361,102941
Lakshadweep,2022,11415,52,11363,142358
Madhya Pradesh,2020,240947,3595,227965,0
Madhya Pradesh,2021,793888,10533,782995,102894121
Madhya Pradesh,2022,1054919,10776,1044138,153928415
Maharashtra,2020,1928603,49463,1824934,0
Maharashtra,2021,6670754,141518,6507330,132941258
Maharashtra,2022,8136633,148417,7988044,177924155
Manipur,2020,28137,354,26601,0
Manipur,2021,125778,2002,123586,2314911
Manipur,2022,139922,2149,137773,3267914
Meghalaya,2020,13408,139,13085,0
Meghalaya,2021,84817,1484,83272,2194125
Meghalaya,2022,96783,1624,95158,2624911
Mizoram,2020,4204,8,4091,0
Mizoram,2021,141400,542,139200,1324911
Mizoram,2022,238964,726,238238,1793512
Nagaland,2020,11921,79,11624,0
Nagaland,2021,32191,702,31420,1342158
Nagaland,2022,35986,782,35204,1739241
Odisha,2020,329306,1871,325103,0
Odisha,2021,1054606,8458,1044594,50294155
Odisha,2022,1336563,9205,1327264,81523912
Puducherry,2020,38096,633,37100,0
Puducherry,2021,129461,1881,127452,1389412
Puducherry,2022,175512,1975,173530,2274911
Punjab,2020,166239,5331,157043,0
Punjab,2021,604594,16644,587368,26594213
Punjab,2022,784210,19289,764878,47023915
Rajasthan,2020,307554,2689,295030,0
Rajasthan,2021,956019,8963,946283,80941255
Rajasthan,2022,1315466,9653,1305740,115421392
Sikkim,2020,5877,127,5218,0
Sikkim,2021,32502,409,32032,1029314
Sikkim,2022,44319,499,43819,1362914
Tamil Nadu,2020,817077,12109,796353,0
Tamil Nadu,2021,2746890,36765,2703196,81563212
Tamil Nadu,2022,3595415,38049,3556292,127542911
Telangana,2020,286354,1541,278839,0
Telangana,2021,681587,4025,673999,47894213
Telangana,2022,841839,4111,837162,77542912
Tripura,2020,33264,385,32751,0
Tripura,2021,85069,829,84145,4912458
Tripura,2022,108034,940,107094,5912458
Uttar Pradesh,2020,584966,8352,562459,0
Uttar Pradesh,2021,1711359,22915,1687799,200854213
Uttar Pradesh,2022,2128104,23633,2104432,392014913
Uttarakhand,2020,90616,1504,84149,0
Uttarakhand,2021,344940,7417,337268,13842155
Uttarakhand,2022,449389,7751,441610,20124912
West Bengal,2020,550893,9683,528829,0
West Bengal,2021,1635034,19757,1606501,104291458
West Bengal,2022,2118617,21532,2097026,156024915
