Date,State/UnionTerritory,Confirmed,Deaths,Cured,Total Doses Administered
2020-05-15,Maharashtra,29100,1068,6564,
2020-09-20,Maharashtra,1188017,32216,834432,
2020-12-31,Maharashtra,1928603,49463,1824934,
2021-04-15,Maharashtra,3639855,59153,2959056,22005000
2021-12-31,Maharashtra,6670754,141518,6507330,132941258
2022-12-31,Maharashtra,8136633,148417,7988044,177924155
2020-06-10,Delhi,31309,905,11861,
2020-12-31,Delhi,624795,10523,608434,
2021-05-20,Delhi,1402873,22111,1320496,4500000
2021-12-31,Delhi,1446415,25107,1418227,26183944
2022-12-31,Delhi,2007208,26521,1980657,37402619
2020-08-05,Kerala,29151,94,17533,
2020-12-31,Kerala,755718,3042,687104,
2021-07-12,Kerala,3073134,14686,2945414,15000000
2021-12-31,Kerala,5244501,47441,5176535,46894231
2022-12-31,Kerala,6828376,71555,6755401,57523914
2020-04-01,Gujarat,87,6,25,
2020-12-31,Gujarat,244258,4302,229977,
2021-06-30,Gujarat,823433,10054,809961,25000000
2021-12-31,Gujarat,831078,10118,818589,89563214
2022-12-31,Gujarat,1277569,11043,1266479,128084122
2020-12-31,Karnataka,918544,12081,894834,
2021-12-31,Karnataka,3006505,38327,2959926,81294155
2022-12-31,Karnataka,4076670,40307,4030363,122158913
2020-12-31,Andaman and Nicobar Islands,4941,62,4820,
2021-12-31,Andaman and Nicobar Islands,7720,129,7582,592837
2022-12-31,Andaman and Nicobar Islands,10746,129,10612,991263
