State,Year,Cases,Deaths,Recovered,Vaccinated,Population
Gujarat,2020,10000,500,8000,0,63870000
Gujarat,2021,50000,1500,47000,30000000,63870000
Gujarat,2022,20000,300,19500,45000000,63870000
Maharashtra,2020,100000,5000,80000,0,123000000
Maharashtra,2021,320000,9500,300000,80000000,123000000
Maharashtra,2022,90000,1200,88000,110000000,123000000
Kerala,2020,25000,80,23000,0,35000000
Kerala,2021,180000,700,175000,25000000,35000000
Kerala,2022,60000,150,59000,32000000,35000000
Karnataka,2020,60000,900,55000,0,64000000
Karnataka,2021,210000,2600,200000,40000000,64000000
Karnataka,2022,70000,400,68500,55000000,64000000
Delhi,2020,40000,1100,36000,0,19800000
Delhi,2021,150000,2400,145000,15000000,19800000
Delhi,2022,45000,300,44000,18000000,19800000
Tamil Nadu,2020,70000,1000,65000,0,77000000
Tamil Nadu,2021,240000,3200,230000,45000000,77000000
Tamil Nadu,2022,80000,500,78500,60000000,77000000
Uttar Pradesh,2020,55000,900,50000,0,231000000
Uttar Pradesh,2021,190000,3600,180000,90000000,231000000
Uttar Pradesh,2022,65000,600,63500,140000000,231000000
West Bengal,2020,45000,800,41000,0,99000000
West Bengal,2021,160000,2000,153000,40000000,99000000
West Bengal,2022,50000,350,49000,60000000,99000000
